fixtureid,report,createdby,createdate
1,<p>It appears that exams## school commitments and other issues are going to make it very difficult to put out a team in the MBL.</p><p> A decision will be made shortly as to whether we try and complete the remaining fixtures or drop out</p>,Webmaster,2010-02-11
5,Due to a complete over sight by NK no team had been selected for this match. Very annoying,Nigel,2010-02-11
6,<p>It appears that exams## school commitments and other issues are going to make it very difficult to put out a team in the MBL.</p><p> A decision will be made shortly as to whether we try and complete the remaining fixtures or drop out</p>,Nigel,2010-02-11
8,<p>Only 3 overs were possible at a very soggy Ballinger . In some corners this was greeted with sighs of relief as 8pts may have been more than the team would have achieved against a strong Broomwade side</p>,Nigel,2010-02-11
9,<p>On the opening day of the season Ballinger were greeted with an excellent track## a short boundary and an Aldenham side short of bowlers. Rollo McIntyre took full advantage of all this and bludgeoned 120n.o. in no time. He added 206 for the second wicket with Matt Riley. Riley scored 70 at a more stately speed. Ballinger declared on 218 - 2 with only skipper Salisbury missing out.</p><p>Aldenham's batting was some-what better than their bowling and with the track still playing well they reached 190-7. All the Ballinger bowlers performed well but it was particularly pleasing to see the spin duo## Davies & Hardy## bowling well in tandem. New 'keeper Riley did an excellent job behind the sticks.</p>,Nigel,2010-02-11
11,<p>They don't come any closer than this! Ballinger win a cliff hanger of a cup game against Flackwell Heath.</p> <p> Flackwell batted first and were contained by a tidy opening spell by Luke Hughes and Charlie Mead. At the mid point of the 20 overs they accelerated but were then pegged back towards the close of their innings by two good spells by James Rose and Sebastian Richards who each bowled two overs and took two wickets for 5 runs. At the close Flackwell had scored 60. However the grass in the outfield was very long and we reckoned that it was worth 80 to 90 at our ground.</p><p>Ballinger lost Alex Humphreys early to a very good catch. George Bailey and George Kinston then both batted well and gave us a good base. They were both dismissed for 11## which on a better outfield would have been worth a lot more. Charlie Mead came in at second wicket down and batted really well to accumulate 25. Ballinger were well on course until Charlie was out and then the middle order lost composure as the run chase was reaching its climax.</p> <p> The light was poor as the last over was bowled with Ballinger still needing two to win. A wicket fell and Matthew Rose joined Sebastian Richards at the crease. A dot ball was followed by a scampered single (encouraged from a rather vocal square leg umpire!). Basty was now on strike. Three balls left one run to win. Two dot balls. One delivery left - one run required. The tension was mounting. Basty middled a leg stump delivery which went crashing past mid on and Ballinger had won.</p> The team bowled and fielded well. Next match we need to cut down on the opposition's singles and scramble a few more of our own. All in all a very credible performance by the team with every one contributing with either bat or ball and in the end a thoroughly deserved victory.Paul Rose,Nigel,2010-02-11
12,<p>On a beautiful spring evening BWCC U11A's got off to a disappointing start to the season. Playing off 22yards!! </p>Ballinger put Beaconsfield in to bat and they took full advantage of the difficulty some bowlers were having bowling on a longer than usual pitch and were rattling up the runs. They were helped by some some beginning of the season sloppy fielding & after their 20 overs they were 273 for 4 with Tom Edmonds getting 8 for 32 off 2 overs. Will Smith kept really well.</p><p>After the first 2 pairs we were only 4 runs behind but our inability to pierce the field meant when the last pair came in they needed to make 38 runs in 4 overs. This proved an impossible task.</p><p>We need to put this behind us and in the next match## ensure our fielding is up to Ballingers usual standard## bowl a good length and look for the gaps in the field to get boundaries.</p>,Nigel,2010-02-11
13,<p>When the teams arrived at the ground the game was in doubt due to a wet out-field and light rain. However the 2 team coaches agreed to start the game and review the situation after 3-4 overs. The game was played under Barrington rules and Amesham won the toss and asked BWCC to bat first. Once the game was underway the weather improved immensely and soon the sun was shining and the outfield was not as slippery as we thought it might be. </p> <p> The BWCC opening pair gave the team a steady start despite loosing an early wicket. Subsequent pairs batted sensibly and carefully and kept the score ticking over. The final pair scored 26 runs to set a target of 265 runs. In total BWCC lost 5 wickets. There was good batting performances from Jamie Wise## Josh Livingstone## Monty Cuthbert## Alex Welsh and Joe Carey. </p> <p>When Amersham batted## the BWCC bowlers bowled a very good line and length and prevented Amersham from scoring too many runs. The BWCC fielding was excellent with good backing-up from the players plus lots of encouragement from each boy to their team members. The BWCC bowlers conceeded many fewer extras than the Amersham bowlers. </p> <p> What was particularly pleasing was that only one bye and only 3 additional runs from wide deliveries were conceeded - well done to Alex Wills for keeping wicket so well. In the end BWCC only took 3 wickets - 2 in the final over. However their overall bowling performance restricted the Amersham batsmen.</p> <p>Josh Livingstone captained the side well and all the team members accepted his field placings without question. There were good bowling performances from Max Bailey## who took all 3 wickets## Duncan Healey## Eddie Bentley## Tom Harrison and John Martin.</p> <p>I would like to thank Jeff Moxom for umpiring the match - with the permission of Amersham CC officials.</p> <p>Finally all the boys behaved impeccably and were a credit to the club.</p> <p>Thanks to all the parents for suppporting the boys.</p> <p>Chris Moxom BWCC Coach.BWCC 264-5 Amersham 235-3,Chris,2010-02-11
14,<p>The game started on a damp Sunday morning. There was a slight mix-up with the times in that Aston Clinton thought the game started at 10. However the match proceeded as soon as possible and Aston Clinton won the toss and asked BWCC to bat.</p> <p> Stephan Otto and George Barlett opened the batting and proceeded to make steady progress against the very good Aston opening bowlers. Stephan and George put on 23 in 7 overs before George was out for 7. James Wood came in at number 3.. </p> <p>Sadly## as the match progressed## the strip become much more slippery and it began to cut-up. The home umpire proposed that the game be abandoned because of the potential risk of injury to both bowlers and batsmen. After a brief discussion between the coaches of both teams it was agreed to abandon the game. </p> <p>At this point Stephan was 11 not out and James 6 not out. All three BWCC batsmen had batted very well in the difficult conditions. </p> <p>The full team wasStephan Otto## George Barlett## James Wood## Jeff Moxom## James Miller## Jack MacIver## Luke Martin (capt.)## Jonny Freeman## Aaron Bailey## Michael Bryant## Richard Wise.BWCC U14 29-1 (9 overs),Chris,2010-02-11
17,High Wycombe proved too strong for us on Thursday evening. Wycombe batted first and were restricted to 32 off their first 10 overs## however## they accelerated to reach 83 for 4 after 20. All the bowlers bowled well and kept their heads when confronted by some clean striking of a cricket ball by some of the Wycombe batsmen. The fielding was also of a good standard and to limit a side with a number of county players to 83 in 20 overs was a very commendable performance. Will Clarke and George Bailey both bowled 3 over and took 1 for 7## which was an excellent analysis on an evening made for batting.Unfortunately we struggled with the bat. The opposition were quick and pretty straight## which proved a lethal combination for most of our players. Sam King put up some good resistance and scored 9. James Rose showed a commendably good technique and occupied the crease without adding much to the score. We were eventually bowled out for 33. I would be surprised if we come up against a bowling attack as good as that again this season. Having said that## we need to look closely at our basic technique## ie getting in line and playing straight to straight balls.There is no need to feel disheartened by defeat to a very competent opposition. And the boys now go on to a league match at Amersham followed by cup game at home to Beaconsfield on Monday 15th May.Paul Rose,Paul,2010-02-11
